"RelativePath","Length","LastWriteTimeUtc","Attributes","Sha256"
"Config\DefaultEditor.ini","32347","2026-01-08T16:28:52.8991050Z","Archive","B878FBC16D01696F7780A6F1B27E824E30306041DF5E380697ED6A48829DF02F"
"Config\DefaultEditorPerProjectUserSettings.ini","221","2026-01-08T16:28:40.1315641Z","Archive","4E0AA3C4036894B6ED747808EDA65F340C0C2316ABE514FBED22450C6DDA129B"
"Config\DefaultEngine.ini","513","2026-01-08T16:28:57.6462427Z","Archive","63C022C5A6C448494288F5DA98D5B589AFF286FDF96159A8D2257799F30DC7AA"
"Config\DefaultGame.ini","97","2026-01-08T16:28:40.1401969Z","Archive","224F054472B4CD0F821FAD73863B852EB90E9E1358243A80F606043255EF7747"
"Config\DefaultInput.ini","9026","2026-01-08T16:28:40.1336339Z","Archive","FC9BF4EB5D2727BB6F80F24FFCB846698DDC717DAE0DC9455524EBF472EECED0"
"Config\DefaultLightmass.ini","1085","2026-01-08T16:28:40.1336339Z","Archive","1AD94B49A5654B5DE2C7D7CF3DA72A029514BB86AA78C9C0B6B061B4580FC1B9"
"Config\DefaultScalability.ini","486","2026-01-08T16:28:40.1346091Z","Archive","A9CCFBF1CB8D951AFBFD9CC3A45646F6D7D68A2D969166E4270AAE03A2B5E2FC"
"Content\ArchvisDefault\Levels\Archvis_Empty.umap","50412","2026-01-08T16:28:40.6578270Z","Archive","3EDB43BB7B2BD91416B73E1DEC21816746C932A8F7054B093B2E5F16A2910448"
"Content\ArchvisDefault\Levels\Thumbnails\Thumbnail_Empty.uasset","21720","2026-01-08T16:28:40.6588258Z","Archive","366BDE9BFA05721B03DA9B3032597F4339381C490D8737DC24D487DC8791B747"
"Content\CodexTests\Codex_StarterScene.umap","13974","2026-07-04T13:59:36.9370875Z","Archive","2E8B6815E86BCBAD65937AA5832363B6EC83384AFADE78EC83C2C7AE14AA0FCE"
"Content\Main.umap","50028","2026-01-08T16:28:40.1270174Z","Archive","3CAF91F39289B01CB94DB7FDFC993D96B79A0F0E5DF2383CF174D8B2A344E575"
"Content\Main_BuiltData.uasset","1168","2026-01-08T16:28:40.1289861Z","Archive","7E032FDE4002D17D20D8A5EFDEE2608B0E042FFF49A9B8A668EED1B8F8410777"
"Content\砖.umap","40652","2026-01-08T16:54:21.0430032Z","Archive","F7EC256E1D33872116787E5BC2704D0E09825929AE89A1F54FF3270908F93957"
"Intermediate\CachedAssetRegistry.bin","13293102","2026-07-05T05:39:43.9418912Z","Archive","9328A7C6F90AC7AD1D4F38D8C228B07CE0302E89F2264C91746D74140DC53EAD"
"Intermediate\Config\CoalescedSourceConfigs\Crypto.ini","0","2026-07-05T05:39:56.8985767Z","Archive","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"Intermediate\Config\CoalescedSourceConfigs\GameUserSettings.ini","63","2026-01-08T16:28:57.3473420Z","Archive","41AC48A4364EB7B1C49A3AB3E020E0E96E2537C7468C41A0784BFAF0D811F53C"
"Intermediate\Config\CoalescedSourceConfigs\InternationalizationExport.ini","0","2026-07-05T05:39:51.1148686Z","Archive","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"Intermediate\Config\CoalescedSourceConfigs\LocalizationServiceSettings.ini","0","2026-07-05T05:40:05.8476409Z","Archive","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"Intermediate\Config\CoalescedSourceConfigs\ObjectMixer.ini","0","2026-07-05T05:40:02.5209437Z","Archive","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"Intermediate\Config\CoalescedSourceConfigs\ObjectMixerSerializedData.ini","0","2026-07-05T05:40:02.5139440Z","Archive","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"Intermediate\Config\CoalescedSourceConfigs\OpenColorIO.ini","0","2026-07-05T05:39:50.7695021Z","Archive","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"Intermediate\Config\CoalescedSourceConfigs\TranslationPickerSettings.ini","0","2026-07-05T05:39:51.1183786Z","Archive","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"Intermediate\Config\CoalescedSourceConfigs\UnrealInsightsSettings.ini","0","2026-07-05T05:40:05.9272685Z","Archive","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"Intermediate\ReimportCache\3688439234.bin","246","2026-01-08T16:29:00.3148176Z","Archive","995F50A4FB876A4CF6344A33479AAC6CDC9AE9C6F847F0CFEE39657E5B918CFA"
"Intermediate\ShaderAutogen\PCD3D_ES3_1\AutogenShaderHeaders.ush","16795","2026-01-08T16:28:48.7998069Z","Archive","15CC1D045599D1A0032AAC77B8C3917819AC9B2709FC5E14D49A831839297842"
"Intermediate\ShaderAutogen\PCD3D_SM5\AutogenShaderHeaders.ush","17611","2026-01-08T16:28:47.8958694Z","Archive","51B9CA4A272F99F6991F0CBC8657572D432B17B0DB1213BD231C3E6059D4540E"
"Saved\Autosaves\PackageRestoreData.json","96","2026-07-05T05:40:14.2007597Z","Archive","FDC2D5BEBF9CDEF10FE7088228558CB57FF12B0EA92EA114809E20FD2ADD5BB6"
"Saved\Autosaves\Temp\Untitled_2_Auto1.umap","40672","2026-01-08T16:49:44.7010763Z","Archive","D774C5C43DD05E05EC774745B865E8572C8FD39813FF93F58638B8713BAC9613"
